model,noise_version,segments,parameters,inference_seconds,segments_per_second,official_full_test,checkpoint,tensorflow_version
Vanilla DAE,nv1,15535,349600,1.747540786999707,8889.635146468603,True,Vanilla_DAE1_best.weights.h5,2.20.0
CNN-DAE,nv1,15535,260391,4.388711024999793,3539.763705449422,True,CNN_DAE1_best.weights.h5,2.20.0
DRNN,nv1,15535,25281,4.339974911000354,3579.513780281098,True,DRNN1_best.weights.h5,2.20.0
FCN-DAE,nv1,15535,80770,3.8917883359999905,3991.7381570568637,True,FCN_DAE1_best.weights.h5,2.20.0
DeepFilter,nv1,15535,69147,8.986618094999358,1728.6814501046304,True,DeepFilter1_best.weights.h5,2.20.0
ACDAE,nv1,15535,94870,3.4972049779998997,4442.11880565396,True,ACDAE1_best.weights.h5,2.20.0
CBAM-DAE,nv1,15535,217512,7.978481312999975,1947.112412820669,True,CDAE_BAM1_best.weights.h5,2.20.0
TCDAE,nv1,15535,1002433,8.810134660000585,1763.3101648867382,True,TCDAE1_best.weights.h5,2.20.0
FGDAE q=1,nv1,15535,263248,9.825887152000178,1581.0277239788636,True,Proposed_gatedONN11_best.weights.h5,2.20.0
FGDAE q=2,nv1,15535,384496,9.763908506000007,1591.0636596454797,True,Proposed_gatedONN21_best.weights.h5,2.20.0
FGDAE q=3,nv1,15535,505744,9.887748884000757,1571.1361789473629,True,Proposed_gatedONN31_best.weights.h5,2.20.0
FGDAE q=4,nv1,15535,626992,10.247827023000355,1515.9311300954873,True,Proposed_gatedONN41_best.weights.h5,2.20.0
Vanilla DAE,nv2,15535,349600,1.815914385000724,8554.91873863525,True,Vanilla_DAE2_best.weights.h5,2.20.0
CNN-DAE,nv2,15535,260391,4.602653380999982,3375.2270079970335,True,CNN_DAE2_best.weights.h5,2.20.0
DRNN,nv2,15535,25281,4.558423411000149,3407.976530331024,True,DRNN2_best.weights.h5,2.20.0
FCN-DAE,nv2,15535,80770,4.053894564999609,3832.117424593527,True,FCN_DAE2_best.weights.h5,2.20.0
DeepFilter,nv2,15535,69147,9.274987191000037,1674.9349276810165,True,DeepFilter2_best.weights.h5,2.20.0
ACDAE,nv2,15535,94870,3.525179406999996,4406.867908382746,True,ACDAE2_best.weights.h5,2.20.0
CBAM-DAE,nv2,15535,217512,7.696700131999933,2018.3974604144207,True,CDAE_BAM2_best.weights.h5,2.20.0
TCDAE,nv2,15535,1002433,8.704407377999814,1784.72804929424,True,TCDAE2_best.weights.h5,2.20.0
FGDAE q=1,nv2,15535,263248,9.609738246000234,1616.5892974729024,True,Proposed_gatedONN12_best.weights.h5,2.20.0
FGDAE q=2,nv2,15535,384496,9.810609818000557,1583.4897410246917,True,Proposed_gatedONN22_best.weights.h5,2.20.0
FGDAE q=3,nv2,15535,505744,10.027798045999589,1549.1935446583323,True,Proposed_gatedONN32_best.weights.h5,2.20.0
FGDAE q=4,nv2,15535,626992,10.245612503999837,1516.2587882310806,True,Proposed_gatedONN42_best.weights.h5,2.20.0
