model,artifact,segments,SNR_mean_dB,PRD_mean_pct,MAD_mean_mV
ACDAE,BW,3838,8.77039348470949,39.33838897891339,0.4281071961334266
ACDAE,BW+EM,4020,4.920947090258765,65.83196160084431,0.6952746769242428
ACDAE,BW+MA,3876,8.300564683785094,41.313611377493665,0.5112637791928035
ACDAE,BW+MA+EM,4030,5.208014596283516,63.10850034622427,0.6835791067593006
ACDAE,Clean,3948,13.38188497048067,22.660490463987504,0.2863585583402383
ACDAE,EM,3848,4.596360867214977,68.19210348911547,0.7132457540585146
ACDAE,MA,3794,8.132290104754055,42.17787039056752,0.550158410887462
ACDAE,MA+EM,3716,5.032453083471451,64.33151135366595,0.695713870353753
CBAM-DAE,BW,3838,8.652155522069393,39.828283059284225,0.4009520011350674
CBAM-DAE,BW+EM,4020,4.279608511214097,72.08527818235473,0.7091443303874979
CBAM-DAE,BW+MA,3876,8.127315893799954,42.13518414665812,0.489158602737247
CBAM-DAE,BW+MA+EM,4030,4.59959775846326,69.08002032950368,0.6982807952367077
CBAM-DAE,Clean,3948,13.295878462070277,22.882676444940106,0.23646468047075733
CBAM-DAE,EM,3848,3.871118169703927,75.30776151685414,0.7299621002631111
CBAM-DAE,MA,3794,7.932977613775127,43.113554958818014,0.526041463515837
CBAM-DAE,MA+EM,3716,4.475079341606425,70.09298729858249,0.7070204100125824
CNN-DAE,BW,3838,4.929462528163422,58.05155774834992,0.8323808426232832
CNN-DAE,BW+EM,4020,2.8807452676797944,76.32450013604591,0.9914346532368238
CNN-DAE,BW+MA,3876,4.907733183228363,58.23840620511405,0.8598450082537461
CNN-DAE,BW+MA+EM,4030,3.1213536092142413,74.07947520798803,0.9731435297600978
CNN-DAE,Clean,3948,5.891345170734186,51.655491749100975,0.7858907610701892
CNN-DAE,EM,3848,2.6018258722588135,78.79514442510224,1.0129060087346338
CNN-DAE,MA,3794,4.877185497129092,58.52990047329339,0.8799250088666108
CNN-DAE,MA+EM,3716,3.1180274044771967,74.17823980163408,0.9692056248169051
DRNN,BW,3838,4.591159477574541,62.25309537072104,0.7011119080676871
DRNN,BW+EM,4020,2.3267502085549143,86.23888249405269,0.9852762251018452
