model,mean_SSD,mean_MAD_mV,mean_PRD_paper_pct,mean_CosSim,mean_RMSE_mV,mean_MAE_mV,mean_SNR_dB,std_SSD,std_MAD_mV,std_PRD_paper_pct,std_CosSim,std_RMSE_mV,std_MAE_mV,std_SNR_dB
FGDAE q=2,12.251751116595004,0.5038733406768051,47.55206475368465,0.8662410678852794,0.12111185116608134,0.08552762520704998,7.826911152279257,30.66813639556008,0.4527598723539051,30.66003952816093,0.1657587138342897,0.09623626649598684,0.06410917865555399,4.756633343138635
FGDAE q=1,12.82227465715715,0.5058680733100124,47.801682688877094,0.865161727218467,0.12155062479639821,0.08539319477175146,8.031305288277157,32.69384862178578,0.4701851785957228,33.43166773274668,0.1696567331066713,0.10133746258007142,0.06691062671899131,5.241085368418181
ACDAE,13.803631771014642,0.570397451930249,50.88605097073987,0.8495166213501998,0.12914792917487314,0.08910991982312672,7.295695134555731,33.06232184878861,0.4793667882057997,33.46994581084578,0.1758246986036196,0.10139704927765672,0.0658020851817436,4.842993516959517
FGDAE q=3,14.472245022222294,0.5634378281866327,51.96064851279967,0.8452134492565169,0.13274119745767715,0.09356968455771751,7.101583416456074,32.00167316325295,0.4779521963360718,33.20580809732213,0.17444066070975786,0.10318052485460824,0.06947438882977226,4.937560543395179
TCDAE,15.309670640890747,0.5823109607754489,53.173883755649776,0.8491734162936116,0.13382514834467854,0.09263158360436097,7.162431587484089,34.29959207349662,0.49962904948047815,38.27512695363128,0.1875506313947126,0.1095121734679376,0.07303944365742229,5.2641485246589665
CBAM-DAE,16.261639203955113,0.5621245643393781,54.34553156072455,0.8359779483142786,0.13778055292412084,0.09780515774613761,6.905830616836339,35.42315543106228,0.4964593250995236,38.26444691618681,0.18871706230622654,0.11303957081150894,0.07553185947857101,5.112831288186834
MyDDPM,17.937820617140932,0.6283840169593983,58.435140768924164,0.8074563053288486,0.14752033971006473,0.10330972352362706,6.9905412099084385,33.870025774257996,0.5514704772285991,39.61496760066441,0.2135207304714121,0.11520843051082952,0.07763265548698516,7.4166667155091535
FCN-DAE,17.564628654550145,0.7050928535149873,58.50792206340745,0.8030560746227255,0.15020837900088824,0.10253428882353861,5.639071699433249,34.65906535344572,0.5377330432616209,32.676250085125055,0.20018314208963775,0.10836852031631619,0.06988237688465737,3.9449948740927736
DeepFilter,17.844044573957056,0.6151291429602551,59.27542131638688,0.8103047344415029,0.1515068138627997,0.10726231815006826,5.681740509283903,34.69141870408803,0.49376055945610564,33.89235779222677,0.17457250880802375,0.10907666040137065,0.06905794231248805,4.352239607850111
CNN-DAE,20.634429747937787,0.9132647341068691,66.26157371728603,0.7535238684171476,0.17316063004033952,0.11194362612214494,4.038068565308852,29.706254675975504,0.5280310803090308,24.962294518793293,0.19994169503453388,0.10157435145423553,0.0680336825192216,2.704364152395783
FGDAE q=4,24.15166708273604,0.7749741931588302,69.47346030499884,0.7375215611508205,0.1810997336198082,0.12668649404074464,4.183762085687978,35.609855672331825,0.5819199954196924,34.93859548768254,0.21160993326790786,0.11989401113082934,0.07904034706851977,4.29371567573213
DRNN,25.78572020690649,0.8307292405112453,70.40235425148705,0.7192983080530055,0.1817412847371982,0.12102192272057644,4.131930494217657,46.70134378802299,0.6229234701431805,39.50360619239529,0.23754452669024434,0.13165636362639918,0.07926904147125477,4.284142687918972
Vanilla DAE,32.778360020248186,0.9961393952751919,79.39930839558046,0.655901205647286,0.2091347798773798,0.13935072969139406,2.840787712409519,54.03345965280689,0.6668521818861036,39.39220645669311,0.25974028793533205,0.14242026222943885,0.09575818967332188,3.666113461459848
