level,reference,comparison,metric,pairs,statistic,p_value
segment,MyDDPM,ACDAE,SSD,31070,136587117.0,0.0
segment,MyDDPM,ACDAE,MAD_mV,31070,192361053.0,9.346210426280694e-211
segment,MyDDPM,ACDAE,PRD_paper_pct,31070,143403827.0,0.0
segment,MyDDPM,ACDAE,CosSim,31070,145658106.0,0.0
segment,MyDDPM,ACDAE,RMSE_mV,31070,146125012.0,0.0
segment,MyDDPM,ACDAE,MAE_mV,31070,140763210.0,0.0
segment,MyDDPM,ACDAE,SNR_dB,31070,167921491.0,0.0
segment,MyDDPM,CBAM-DAE,SSD,31070,171180440.0,0.0
segment,MyDDPM,CBAM-DAE,MAD_mV,31070,176330819.5,0.0
segment,MyDDPM,CBAM-DAE,PRD_paper_pct,31070,179014385.0,0.0
segment,MyDDPM,CBAM-DAE,CosSim,31070,178572893.0,0.0
segment,MyDDPM,CBAM-DAE,RMSE_mV,31070,180685325.0,0.0
segment,MyDDPM,CBAM-DAE,MAE_mV,31070,194456347.0,2.758135243094405e-193
segment,MyDDPM,CBAM-DAE,SNR_dB,31070,198247063.0,1.2895755453491365e-163
segment,MyDDPM,CNN-DAE,SSD,31070,155568224.0,0.0
segment,MyDDPM,CNN-DAE,MAD_mV,31070,77900242.5,0.0
segment,MyDDPM,CNN-DAE,PRD_paper_pct,31070,144477369.0,0.0
segment,MyDDPM,CNN-DAE,CosSim,31070,121580672.0,0.0
segment,MyDDPM,CNN-DAE,RMSE_mV,31070,136884454.0,0.0
segment,MyDDPM,CNN-DAE,MAE_mV,31070,179713419.0,0.0
segment,MyDDPM,CNN-DAE,SNR_dB,31070,115959373.0,0.0
segment,MyDDPM,DRNN,SSD,31070,120577347.0,0.0
segment,MyDDPM,DRNN,MAD_mV,31070,97818837.0,0.0
segment,MyDDPM,DRNN,PRD_paper_pct,31070,109416073.0,0.0
segment,MyDDPM,DRNN,CosSim,31070,87654845.0,0.0
segment,MyDDPM,DRNN,RMSE_mV,31070,103870177.0,0.0
segment,MyDDPM,DRNN,MAE_mV,31070,122440020.0,0.0
segment,MyDDPM,DRNN,SNR_dB,31070,87685989.0,0.0
segment,MyDDPM,DeepFilter,SSD,31070,231945427.0,2.769661806176091e-09
segment,MyDDPM,DeepFilter,MAD_mV,31070,241337251.0,0.996597770984454
segment,MyDDPM,DeepFilter,PRD_paper_pct,31070,219381864.0,7.153171661836298e-44
segment,MyDDPM,DeepFilter,CosSim,31070,213799822.0,5.6180658200405355e-68
segment,MyDDPM,DeepFilter,RMSE_mV,31070,215572945.0,9.792383079048605e-60
segment,MyDDPM,DeepFilter,MAE_mV,31070,200069379.0,3.063420403564697e-150
segment,MyDDPM,DeepFilter,SNR_dB,31070,194238234.0,4.545488335084204e-195
segment,MyDDPM,FCN-DAE,SSD,31070,238953782.0,0.1305758303678657
segment,MyDDPM,FCN-DAE,MAD_mV,31070,163684901.5,0.0
segment,MyDDPM,FCN-DAE,PRD_paper_pct,31070,227708682.0,6.43803698275097e-18
segment,MyDDPM,FCN-DAE,CosSim,31070,208234990.0,2.2279937186306369e-97
segment,MyDDPM,FCN-DAE,RMSE_mV,31070,223084949.0,7.464041148966449e-31
segment,MyDDPM,FCN-DAE,MAE_mV,31070,240169906.0,0.4577100025919474
segment,MyDDPM,FCN-DAE,SNR_dB,31070,203314817.0,7.602464044059631e-128
segment,MyDDPM,FGDAE q=1,SSD,31070,102382007.0,0.0
segment,MyDDPM,FGDAE q=1,MAD_mV,31070,117999202.0,0.0
segment,MyDDPM,FGDAE q=1,PRD_paper_pct,31070,104932049.0,0.0
segment,MyDDPM,FGDAE q=1,CosSim,31070,101590083.0,0.0
segment,MyDDPM,FGDAE q=1,RMSE_mV,31070,107365459.0,0.0
segment,MyDDPM,FGDAE q=1,MAE_mV,31070,112902521.0,0.0
segment,MyDDPM,FGDAE q=1,SNR_dB,31070,130625553.0,0.0
segment,MyDDPM,FGDAE q=2,SSD,31070,105047557.0,0.0
segment,MyDDPM,FGDAE q=2,MAD_mV,31070,123472014.5,0.0
segment,MyDDPM,FGDAE q=2,PRD_paper_pct,31070,110370933.0,0.0
segment,MyDDPM,FGDAE q=2,CosSim,31070,104703377.0,0.0
segment,MyDDPM,FGDAE q=2,RMSE_mV,31070,113183059.0,0.0
segment,MyDDPM,FGDAE q=2,MAE_mV,31070,121056375.0,0.0
segment,MyDDPM,FGDAE q=2,SNR_dB,31070,136865458.0,0.0
segment,MyDDPM,FGDAE q=3,SSD,31070,158579687.0,0.0
segment,MyDDPM,FGDAE q=3,MAD_mV,31070,186195854.0,1.4027408837690206e-266
segment,MyDDPM,FGDAE q=3,PRD_paper_pct,31070,163166770.0,0.0
segment,MyDDPM,FGDAE q=3,CosSim,31070,160540319.0,0.0
segment,MyDDPM,FGDAE q=3,RMSE_mV,31070,167705967.0,0.0
segment,MyDDPM,FGDAE q=3,MAE_mV,31070,174669707.0,0.0
segment,MyDDPM,FGDAE q=3,SNR_dB,31070,190336430.0,2.32273897181485e-228
segment,MyDDPM,FGDAE q=4,SSD,31070,116497993.0,0.0
segment,MyDDPM,FGDAE q=4,MAD_mV,31070,124161874.5,0.0
segment,MyDDPM,FGDAE q=4,PRD_paper_pct,31070,111234827.0,0.0
segment,MyDDPM,FGDAE q=4,CosSim,31070,104186607.0,0.0
segment,MyDDPM,FGDAE q=4,RMSE_mV,31070,101986562.0,0.0
segment,MyDDPM,FGDAE q=4,MAE_mV,31070,100926629.0,0.0
segment,MyDDPM,FGDAE q=4,SNR_dB,31070,87363834.0,0.0
segment,MyDDPM,TCDAE,SSD,31070,158706437.0,0.0
segment,MyDDPM,TCDAE,MAD_mV,31070,204250681.5,9.985787996693362e-122
segment,MyDDPM,TCDAE,PRD_paper_pct,31070,168076379.0,0.0
segment,MyDDPM,TCDAE,CosSim,31070,136895896.0,0.0
segment,MyDDPM,TCDAE,RMSE_mV,31070,166535736.0,0.0
segment,MyDDPM,TCDAE,MAE_mV,31070,160084687.0,0.0
segment,MyDDPM,TCDAE,SNR_dB,31070,186149783.0,5.069711246627073e-267
segment,MyDDPM,Vanilla DAE,SSD,31070,70997218.0,0.0
segment,MyDDPM,Vanilla DAE,MAD_mV,31070,54087234.5,0.0
segment,MyDDPM,Vanilla DAE,PRD_paper_pct,31070,62988761.0,0.0
segment,MyDDPM,Vanilla DAE,CosSim,31070,52318687.0,0.0
segment,MyDDPM,Vanilla DAE,RMSE_mV,31070,58600529.0,0.0
segment,MyDDPM,Vanilla DAE,MAE_mV,31070,73338796.0,0.0
segment,MyDDPM,Vanilla DAE,SNR_dB,31070,50192334.0,0.0
subject,MyDDPM,ACDAE,SSD,28,0.0,7.450580596923828e-09
subject,MyDDPM,ACDAE,MAD_mV,28,23.0,4.76837158203125e-06
subject,MyDDPM,ACDAE,PRD_paper_pct,28,0.0,7.450580596923828e-09
subject,MyDDPM,ACDAE,CosSim,28,0.0,7.450580596923828e-09
subject,MyDDPM,ACDAE,RMSE_mV,28,0.0,7.450580596923828e-09
subject,MyDDPM,ACDAE,MAE_mV,28,0.0,7.450580596923828e-09
subject,MyDDPM,ACDAE,SNR_dB,28,92.0,0.01025690883398056
subject,MyDDPM,CBAM-DAE,SSD,28,92.0,0.01025690883398056
subject,MyDDPM,CBAM-DAE,MAD_mV,28,1.0,1.4901161193847656e-08
subject,MyDDPM,CBAM-DAE,PRD_paper_pct,28,48.0,0.0001721307635307312
subject,MyDDPM,CBAM-DAE,CosSim,28,18.0,1.8849968910217285e-06
subject,MyDDPM,CBAM-DAE,RMSE_mV,28,61.0,0.0007162094116210938
subject,MyDDPM,CBAM-DAE,MAE_mV,28,77.0,0.003160528838634491
subject,MyDDPM,CBAM-DAE,SNR_dB,28,181.0,0.6295278295874596
subject,MyDDPM,CNN-DAE,SSD,28,145.0,0.1935620754957199
subject,MyDDPM,CNN-DAE,MAD_mV,28,2.0,2.2351741790771484e-08
subject,MyDDPM,CNN-DAE,PRD_paper_pct,28,42.0,8.20159912109375e-05
subject,MyDDPM,CNN-DAE,CosSim,28,52.0,0.00027351081371307373
subject,MyDDPM,CNN-DAE,RMSE_mV,28,32.0,2.0518898963928223e-05
subject,MyDDPM,CNN-DAE,MAE_mV,28,94.0,0.011838570237159729
